Step,BLOB_EnsembleMolecular_BLOB_score_20250511_224436 - best_value,Molecular_Laplace_BO_score_20250510_150719 - best_value,Molecular_VBLL_score_dense_precision_multirank_20250510_145147 - best_value,ibnn-score - best_value,dkl-score - best_value,gp-score - best_value,Molecular_Laplace_BO_score_20250510_150719 - best_value,Molecular_VBLL_score_dense_precision_multirank_20250510_035401 - best_value,BLOB_EnsembleMolecular_BLOB_score_20250509_220013 - best_value,Molecular_Laplace_BO_score_20250509_153118 - best_value,Molecular_BLOB_score_dense_precision_multirank_20250508_190040 - best_value,BLOB_EnsembleMolecular_BLOB_score_20250511_224436 - best_value,ibnn-score - best_value,dkl-score - best_value,gp-score - best_value,Molecular_DeepEnsemble_score_std_20250512_233817 - best_value,Molecular_DeepEnsemble_score_std_20250512_171001 - best_value
0,-7.8,-9,-8.2,-9.5,-9.5,-9.5,-9,-8.5,-6.1,-9,-7.9,-7.7,-9.5,-9.5,-9.5,-8.9,-8.2
1,-7.8,-9,-8.2,-9.5,-9.5,-9.5,-9,-8.5,,-9.8,-8.3,-7.7,-9.5,-9.5,-9.5,-8.9,-9.6
2,-7.8,-9,-8.2,-9.5,-9.5,-9.5,-9,-9.8,-7.3,-9.8,-8.5,-7.7,-9.5,-9.5,-9.5,-8.9,-9.6
3,-7.8,-9.1,-8.2,-9.5,-9.5,-9.5,-9.1,-9.8,,-9.8,-8.9,-7.7,-9.5,-9.5,-9.5,-8.9,-9.6
4,-7.8,-9.1,-9.6,-9.5,-9.5,-9.5,-9.1,-9.8,-7.6,-9.8,-9,-7.7,-9.5,-9.5,-9.5,-8.9,-9.6
5,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9,-7.7,-9.5,-9.5,-9.5,-8.9,-9.6
6,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.5,-9.6
7,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.5,-9.6
8,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.5,-9.6
9,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.5,-9.6
10,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.5,-9.6
11,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.6
12,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.6
13,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.6
14,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.6
15,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
16,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
17,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
18,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
19,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
20,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
21,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
22,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
23,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
24,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
25,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
26,-7.8,-9.3,-9.6,-9.5,-9.5,-9.5,-9.3,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
27,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
28,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
29,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
